 1678  1731   259     5     0     0     0     0     0     0     0 
 2433  6499  2157    63     6     0     0     0     0     0     0 
 1399  9638  4642   343    50     7     4     0     0     0     0 
  593  8343  7187  1379   274    90    26     5     8     0     0 
  190  3932  5091  1834   652   269    97    34     6     3     1 
   53   974  1544  1032   486   366   186    91    30     2     0 
   10   150   245   236   242   175   161   101    37     6     0 
    2     6    15    30    26    50    62    58    39    16     0 
    0     1    10     7     8    21    31    35    22    10     1 
    0     0     1     0     0     0     7     5     1     1     0 
    0     0     9     0     0     8     5     4    15    23     5 
 5779 22443 21605  5030  1380   562   226    93    29    13     1 
