      5437       3165       1695       1000        196        280         36        240          0          0         88 
     21074      19395       6815       3194        696       1131         68        948          7          0        389 
     20000      12962       5938       1986        572        649         64        449          5          0        140 
      4373       2811       1598        591        159        172         17        173          0          0         65 
      1116        788        618        247         68        101          5        112          2          0         67 
       386        286        352        197         49         92         15        115          1          0         55 
       153         85        151        117         47         49         12        126          4          0         61 
        50         45         78         56         36         38         11         63          4          0         45 
        10         13         12         22         11         24          6         55          0          0         34 
         1          5          1          4          3          5          2         22          0          0         31 
         0          1          0          0          0          1          0          1          0          0          5 
         0          0          0          0          0          0          0          0          0          0          0 
