101160 	 127242
100909 	  66308
 72459 	  95442
 67362 	  90154
101544 	   4363
104295 	  99477
 91637 	  99477
  2622 	 128397
 10274 	  77153
107458 	 102383
114259 	 118363
114259 	 102383
119112 	 127855
  1531 	  72992
  1531 	  16479
105413 	  98252
 28201 	  95336
124225 	 119325
 87759 	 102481
101486 	 119325
101486 	 119311
117950 	  94264
 79171 	  99477
 79171 	 100782
129421 	 106205
129421 	 102481
110898 	  75641
110898 	  16479
122171 	 130665
122171 	 126626
122171 	 102481
122171 	 128471
122171 	 115258
 82242 	 126248
113681 	  75566
 75661 	  66308
 70788 	  95336
 70788 	  62649
 70788 	  74885
106244 	 119325
106244 	 119311
100737 	  99902
 94837 	 100782
 94837 	 101648
127382 	  72992
127382 	  16479
128707 	 128707
101248 	 100617
 66016 	 106205
 66016 	 126248
 66016 	 101486
131601 	  99902
 97422 	  98252
108883 	 126992
128822 	 130780
128822 	 126974
117344 	 126274
101626 	 129134
101626 	  97207
101626 	 128707
121983 	  99477
121983 	  98252
121983 	  99455
121983 	 126248
 66612 	 119325
 66612 	 119311
124281 	 119680
124281 	 113610
