 96738 	 113401 	 0.88 	 1.00
 29716 	  62372 	 0.88 	 1.00
 29716 	  18307 	 0.88 	 1.00
101280 	 127533 	 0.88 	 1.00
 95603 	  95573 	 0.87 	 1.00
130217 	 127533 	 0.88 	 1.00
124080 	  94908 	 0.89 	 1.00
103133 	 104295 	 0.81 	 1.00
 85142 	  52768 	 0.81 	 1.00
 15972 	  29716 	 0.88 	 1.00
101749 	 103133 	 0.81 	 1.00
103677 	 124080 	 0.89 	 1.00
115220 	 104295 	 0.88 	 1.00
115220 	 103133 	 0.88 	 1.00
115220 	 101749 	 0.88 	 1.00
124477 	 125839 	 0.88 	 1.00
 81262 	  10274 	 0.80 	 1.00
 37931 	  52768 	 0.81 	 1.00
101648 	 100782 	 0.80 	 1.00
128471 	 126626 	 0.80 	 1.00
 70314 	  81262 	 0.80 	 1.00
102995 	 106697 	 0.89 	 1.00
   514 	  52768 	 0.81 	 1.00
   514 	  85142 	 0.81 	 1.00
 95790 	  95573 	 0.87 	 1.00
 48728 	  10274 	 0.80 	 1.00
 48728 	  70314 	 0.80 	 1.00
 94005 	 114535 	 0.83 	 1.00
123976 	  95573 	 0.87 	 1.00
123976 	  95790 	 0.87 	 1.00
129747 	 127533 	 0.88 	 1.00
129747 	 125990 	 0.84 	 1.00
 79171 	  29716 	 0.88 	 1.00
124881 	 124419 	 0.89 	 1.00
110974 	 117884 	 0.80 	 1.00
 81503 	    514 	 0.81 	 1.00
  2268 	 114535 	 0.83 	 1.00
 66563 	   2267 	 0.83 	 1.00
128300 	 124080 	 0.89 	 1.00
 80885 	  81262 	 0.80 	 1.00
 80885 	  48728 	 0.80 	 1.00
103038 	 115173 	 0.88 	 1.00
 86131 	  10274 	 0.84 	 1.00
 86131 	  70314 	 0.80 	 1.00
 86131 	  80885 	 0.80 	 1.00
  7854 	 114535 	 0.83 	 1.00
  7854 	   2267 	 0.83 	 1.00
127707 	 117891 	 0.82 	 1.00
103084 	 106697 	 0.89 	 1.00
 96495 	 124177 	 0.84 	 1.00
 86570 	  10274 	 0.80 	 1.00
 86570 	  70314 	 0.80 	 1.00
 86570 	  80885 	 0.80 	 1.00
113690 	 125839 	 0.88 	 1.00
117793 	 124080 	 0.89 	 1.00
 97464 	 101648 	 0.80 	 1.00
113639 	 124177 	 0.80 	 1.00
113639 	  96495 	 0.87 	 1.00
101626 	 103038 	 0.88 	 1.00
124281 	 127221 	 0.83 	 1.00
 89982 	  10274 	 0.80 	 1.00
 89982 	  70314 	 0.84 	 1.00
 89982 	  80885 	 0.84 	 1.00
118243 	 117925 	 0.89 	 1.00
112063 	 103133 	 0.81 	 1.00
112063 	 115220 	 0.88 	 1.00
