 82503 	  81305 	 0.03 	 0.64
 82503 	 205919 	 0.03 	 0.64
 82503 	  80370 	 0.05 	 0.64
 51289 	   9595 	 0.05 	 0.64
 70646 	   9595 	 0.05 	 0.64
 70646 	  82503 	 0.07 	 0.64
 10274 	  82503 	 0.02 	 0.64
 79768 	  82503 	 0.02 	 0.64
 62268 	  81305 	 0.09 	 0.64
 62268 	  10274 	 0.08 	 0.64
 81262 	  82503 	 0.03 	 0.64
 81262 	  62268 	 0.07 	 0.64
 51767 	  81306 	 0.09 	 0.69
 51767 	  69633 	 0.06 	 0.69
 51767 	  16404 	 0.07 	 0.69
 70314 	  82503 	 0.02 	 0.64
 48728 	  82503 	 0.04 	 0.64
 48728 	  62268 	 0.06 	 0.64
 31394 	  82503 	 0.03 	 0.64
  7303 	   5103 	 0.10 	 0.62
  7303 	   2996 	 0.08 	 0.62
  7303 	  81503 	 0.08 	 0.62
 80885 	  82503 	 0.02 	 0.64
 86131 	  82503 	 0.02 	 0.64
 86131 	  62268 	 0.08 	 0.64
 66058 	  82503 	 0.05 	 0.64
 86570 	  82503 	 0.04 	 0.64
 86570 	  62268 	 0.06 	 0.64
 69636 	  51767 	 0.06 	 0.69
 34899 	  43129 	 0.09 	 0.60
 91849 	   2996 	 0.07 	 0.62
 91849 	  37931 	 0.06 	 0.62
 91849 	  81503 	 0.09 	 0.62
 82662 	  34899 	 0.10 	 0.60
 89982 	  82503 	 0.04 	 0.64
 69502 	  51767 	 0.07 	 0.69
