 96113 	 106205 	 0.30 	 0.61
129434 	 100909 	 0.37 	 0.60
 65887 	   9967 	 0.34 	 0.64
 96012 	  96113 	 0.39 	 0.66
  3208 	   4793 	 0.33 	 0.63
 99159 	 103813 	 0.34 	 0.65
119617 	  96113 	 0.34 	 0.66
102481 	 129434 	 0.38 	 0.68
127221 	 106567 	 0.34 	 0.61
127221 	 129644 	 0.38 	 0.61
127221 	 111666 	 0.38 	 0.62
123976 	 106567 	 0.31 	 0.69
122891 	 122840 	 0.39 	 0.68
124881 	 117891 	 0.35 	 0.61
124881 	 110588 	 0.36 	 0.62
 98991 	 103296 	 0.35 	 0.61
126646 	 100909 	 0.37 	 0.61
126646 	 102481 	 0.34 	 0.68
126646 	 106697 	 0.34 	 0.63
124765 	 106567 	 0.36 	 0.64
